Position x [mm];Position y [mm];Position z [mm];Volumen [mm³];Oberfläche [mm²];Mittlere Porosität [%];Porositätsabweichung [%];Maximale Porosität [%];Beschreibung;Bild;Fokussiertes Bild;Screenshots
3,3770;-0,2932;79,4013;0,00;0,08;2,03;0,02;2,07;;Aus;Aus;0
3,3192;-0,0074;77,3140;0,06;1,41;2,21;0,19;2,80;;Aus;Aus;0
3,2854;0,0072;59,8078;0,00;0,16;2,03;0,02;2,08;;Aus;Aus;0
3,2752;0,0553;66,9683;0,04;0,91;2,25;0,18;2,71;;Aus;Aus;0
3,2638;0,4990;67,0817;0,00;0,03;2,01;0,01;2,03;;Aus;Aus;0
3,2243;0,0710;20,3549;0,02;0,56;2,17;0,12;2,47;;Aus;Aus;0
3,2228;-0,0886;75,9775;0,01;0,41;2,07;0,05;2,20;;Aus;Aus;0
3,1963;-0,0778;59,3228;0,02;0,64;2,13;0,09;2,38;;Aus;Aus;0
3,1939;0,2336;21,8306;0,01;0,40;2,19;0,14;2,53;;Aus;Aus;0
3,1902;-0,8342;76,4036;0,02;0,61;2,21;0,15;2,57;;Aus;Aus;0
3,1754;0,5216;67,8222;0,00;0,27;2,03;0,02;2,08;;Aus;Aus;0
3,1654;-1,2104;59,1176;0,00;0,04;2,01;0,01;2,03;;Aus;Aus;0
3,1563;-0,5261;18,9486;0,01;0,32;2,17;0,12;2,46;;Aus;Aus;0
3,1153;-0,7381;77,3094;0,00;0,21;2,05;0,03;2,12;;Aus;Aus;0
3,0856;0,7757;20,4628;0,04;0,92;2,20;0,14;2,56;;Aus;Aus;0
3,0836;0,9725;21,3508;0,01;0,35;2,10;0,07;2,26;;Aus;Aus;0
3,0705;-1,0918;75,6586;0,01;0,39;2,09;0,06;2,23;;Aus;Aus;0
3,0651;-0,7636;20,8970;0,06;1,47;2,18;0,14;2,65;;Aus;Aus;0
2,9899;-0,9290;77,8051;0,75;13,19;2,32;0,29;3,65;;Aus;Aus;0
2,9137;0,5513;78,6443;0,43;5,55;3,67;2,16;12,95;;Aus;Aus;0
2,8913;1,4783;66,1242;0,07;1,66;2,27;0,22;2,89;;Aus;Aus;0
2,8622;1,5766;67,3504;0,01;0,33;2,10;0,07;2,27;;Aus;Aus;0
2,8435;0,8391;22,1955;0,18;2,91;2,82;0,99;6,92;;Aus;Aus;0
2,7943;1,5284;77,5716;0,01;0,26;2,09;0,06;2,23;;Aus;Aus;0
2,7572;1,6291;18,8521;0,00;0,06;2,04;0,03;2,10;;Aus;Aus;0
2,7324;1,8658;77,1722;0,00;0,18;2,06;0,04;2,17;;Aus;Aus;0
2,7249;-1,6998;18,9734;0,00;0,18;2,08;0,06;2,21;;Aus;Aus;0
2,6918;1,7442;20,4412;0,03;0,79;2,21;0,15;2,59;;Aus;Aus;0
2,6591;1,8923;67,3444;0,01;0,27;2,07;0,05;2,19;;Aus;Aus;0
2,6380;1,7487;22,1730;0,14;2,56;2,35;0,30;3,53;;Aus;Aus;0
2,6242;-1,8581;68,4826;0,00;0,05;2,01;0,01;2,02;;Aus;Aus;0
2,6167;-0,1813;68,7012;0,06;1,23;2,60;0,45;3,99;;Aus;Aus;0
2,5714;0,5943;66,9770;0,03;0,70;2,73;0,54;4,17;;Aus;Aus;0
2,5644;-0,3947;62,2861;0,00;0,19;2,14;0,09;2,35;;Aus;Aus;0
2,5012;-1,1460;79,2279;0,03;0,67;2,57;0,43;3,74;;Aus;Aus;0
2,4995;-0,3849;43,0493;0,00;0,00;2,04;0,00;2,04;;Aus;Aus;0
2,4744;-1,3482;20,8377;0,19;2,48;3,42;1,31;7,65;;Aus;Aus;0
2,4718;0,6205;19,5124;0,11;1,67;3,41;1,17;6,99;;Aus;Aus;0
2,4630;1,6932;24,0755;0,01;0,23;2,06;0,04;2,17;;Aus;Aus;0
2,4043;0,3766;71,0478;0,01;0,38;2,29;0,21;2,80;;Aus;Aus;0
2,3795;-1,7371;67,4217;0,04;0,86;2,59;0,45;3,81;;Aus;Aus;0
2,3610;2,1966;66,4465;0,02;0,45;2,18;0,13;2,49;;Aus;Aus;0
2,3605;-0,3713;77,8959;0,03;0,74;2,79;0,59;4,38;;Aus;Aus;0
2,3253;-2,3122;76,1916;0,01;0,47;2,13;0,09;2,36;;Aus;Aus;0
2,3224;-2,2397;77,6415;0,00;0,01;2,00;0,00;2,01;;Aus;Aus;0
2,3216;-1,1922;21,4358;0,01;0,41;2,35;0,25;2,99;;Aus;Aus;0
2,3065;2,3352;76,3692;0,12;2,25;2,29;0,21;2,84;;Aus;Aus;0
2,3060;1,1525;60,6131;0,06;1,11;3,11;0,90;5,80;;Aus;Aus;0
2,2752;-2,0510;20,8462;0,02;0,47;2,16;0,12;2,45;;Aus;Aus;0
2,2588;2,3745;22,1189;0,04;1,09;2,17;0,12;2,53;;Aus;Aus;0
2,2504;-0,2222;63,5002;0,06;1,11;2,87;0,67;4,73;;Aus;Aus;0
2,1999;-1,2602;23,2124;0,02;0,60;2,55;0,41;3,61;;Aus;Aus;0
2,1899;-1,0407;69,7921;0,14;2,18;3,53;1,50;8,70;;Aus;Aus;0
2,1530;-0,9725;73,7275;0,07;1,25;3,01;0,82;5,42;;Aus;Aus;0
2,1414;1,5063;42,8619;0,00;0,00;2,04;0,03;2,08;;Aus;Aus;0
2,1039;0,3087;71,8636;0,04;0,92;2,85;0,66;4,69;;Aus;Aus;0
2,1036;-0,2422;72,3536;0,06;1,14;2,92;0,71;4,91;;Aus;Aus;0
2,0804;-2,1875;19,0239;0,01;0,47;2,21;0,15;2,57;;Aus;Aus;0
2,0798;0,1946;77,3256;0,69;8,15;5,66;4,16;26,07;;Aus;Aus;0
2,0793;-2,4347;79,2418;0,00;0,03;2,01;0,01;2,02;;Aus;Aus;0
2,0492;0,9097;73,6764;0,04;0,86;2,66;0,50;4,01;;Aus;Aus;0
2,0170;-2,2677;66,6318;0,01;0,40;2,19;0,14;2,56;;Aus;Aus;0
2,0095;-0,1094;19,0785;0,19;3,16;4,37;2,09;11,03;;Aus;Aus;0
1,9882;0,2611;60,2934;0,25;3,41;4,75;2,98;16,31;;Aus;Aus;0
1,9858;0,1095;70,2514;0,03;0,73;2,35;0,25;3,05;;Aus;Aus;0
1,9551;-2,5547;68,0367;0,01;0,45;2,10;0,07;2,28;;Aus;Aus;0
1,9534;1,4855;59,4360;0,00;0,17;2,16;0,11;2,41;;Aus;Aus;0
1,9330;-2,5692;67,4371;0,02;0,57;2,16;0,11;2,43;;Aus;Aus;0
1,9299;0,3564;58,4488;0,16;2,19;4,82;2,69;14,17;;Aus;Aus;0
1,9290;-1,0907;63,9198;0,23;3,41;3,76;1,59;9,61;;Aus;Aus;0
1,9199;-1,0148;69,1948;0,00;0,17;2,16;0,11;2,41;;Aus;Aus;0
1,9163;-1,7291;66,1296;0,05;0,99;2,90;0,72;4,98;;Aus;Aus;0
1,8966;2,0782;58,1499;0,01;0,26;2,09;0,06;2,24;;Aus;Aus;0
1,8939;-0,3289;19,6168;0,02;0,59;2,63;0,46;3,83;;Aus;Aus;0
1,8841;-0,4326;65,8006;0,02;0,56;2,48;0,36;3,43;;Aus;Aus;0
1,8726;-0,5371;67,8978;0,16;2,10;4,94;2,72;14,00;;Aus;Aus;0
1,8570;2,3935;78,6913;0,69;11,89;2,31;0,24;3,11;;Aus;Aus;0
1,8403;-0,4010;66,6101;0,00;0,20;2,18;0,12;2,47;;Aus;Aus;0
1,8356;-2,6168;77,5192;0,01;0,30;2,05;0,03;2,11;;Aus;Aus;0
1,8185;-0,1257;23,1301;0,36;5,29;4,21;2,43;14,74;;Aus;Aus;0
1,8155;-1,1466;23,9684;0,06;1,09;2,66;0,51;4,04;;Aus;Aus;0
1,7906;0,3428;22,5730;0,11;1,64;3,52;1,24;7,09;;Aus;Aus;0
1,7788;-0,8326;66,0366;0,01;0,22;2,19;0,13;2,52;;Aus;Aus;0
1,7753;0,0597;24,3541;0,03;0,75;2,41;0,31;3,24;;Aus;Aus;0
1,7638;1,5759;23,9210;0,06;1,17;3,17;0,95;5,91;;Aus;Aus;0
1,7476;-2,7067;78,7514;0,22;3,23;2,63;0,48;3,92;;Aus;Aus;0
1,7314;1,1375;72,0132;0,09;1,44;3,64;1,39;7,91;;Aus;Aus;0
1,7249;-2,6740;59,0947;0,01;0,38;2,13;0,09;2,36;;Aus;Aus;0
1,7037;1,3811;60,2521;0,00;0,11;2,09;0,06;2,23;;Aus;Aus;0
1,6781;2,7599;22,8561;0,00;0,04;2,01;0,00;2,01;;Aus;Aus;0
1,6568;-0,7015;61,2882;0,06;1,11;2,99;0,76;5,08;;Aus;Aus;0
1,6499;2,0184;66,0845;0,05;1,10;2,71;0,56;4,33;;Aus;Aus;0
1,6144;-1,3126;68,9282;0,00;0,20;2,17;0,12;2,45;;Aus;Aus;0
1,6104;0,7531;64,2497;0,03;0,62;2,60;0,44;3,78;;Aus;Aus;0
1,6096;1,7320;19,8284;0,01;0,23;2,21;0,14;2,55;;Aus;Aus;0
1,6091;-1,0526;65,3332;0,05;1,00;3,03;0,81;5,33;;Aus;Aus;0
1,6018;2,5046;58,5050;0,02;0,53;2,09;0,06;2,23;;Aus;Aus;0
1,5974;1,5336;62,8599;0,08;1,34;3,28;1,05;6,37;;Aus;Aus;0
1,5917;1,7546;72,0258;0,03;0,67;2,55;0,41;3,66;;Aus;Aus;0
1,5881;1,7787;60,6196;0,03;0,71;2,55;0,41;3,61;;Aus;Aus;0
1,5880;2,8674;18,9035;0,01;0,27;2,15;0,10;2,41;;Aus;Aus;0
1,5864;-0,6379;20,8442;0,00;0,02;2,02;0,01;2,05;;Aus;Aus;0
1,5857;-0,0519;78,6796;0,62;7,78;4,27;2,32;12,73;;Aus;Aus;0
1,5842;-1,2522;78,2664;0,17;2,71;3,50;1,32;8,23;;Aus;Aus;0
1,5555;-0,7198;50,7640;0,00;0,16;2,04;0,03;2,11;;Aus;Aus;0
1,5551;-2,2958;58,5280;0,02;0,63;2,22;0,16;2,62;;Aus;Aus;0
1,5479;-1,0973;62,5851;0,47;4,97;5,34;3,44;19,69;;Aus;Aus;0
1,5466;2,8255;77,2735;0,05;1,28;2,17;0,12;2,51;;Aus;Aus;0
1,5328;1,3894;61,4828;0,02;0,65;2,43;0,33;3,35;;Aus;Aus;0
1,5296;0,5266;73,1778;0,05;1,02;3,29;1,02;6,28;;Aus;Aus;0
1,5235;-2,7384;76,4939;0,03;0,92;2,19;0,18;2,74;;Aus;Aus;0
1,5129;-1,9173;67,0897;0,24;2,92;4,97;2,78;14,24;;Aus;Aus;0
1,4986;0,6323;75,5764;0,38;4,07;5,69;3,38;16,69;;Aus;Aus;0
1,4967;-1,7432;77,4576;0,04;0,92;2,59;0,44;3,90;;Aus;Aus;0
1,4920;0,1958;77,9480;0,00;0,19;2,16;0,11;2,45;;Aus;Aus;0
1,4787;2,2812;59,8113;0,04;0,81;2,68;0,53;4,13;;Aus;Aus;0
1,4758;-1,7994;79,2325;0,06;1,10;3,21;0,96;5,97;;Aus;Aus;0
