,Slice,x-grid,y-grid,Position,Poren,num Black pixels
0,376,0,0,0,1,1165
1,376,0,1,0,1,736
2,376,0,2,0,0,0
3,376,1,0,0,0,2
4,376,1,1,0,1,487
5,376,1,2,0,0,0
6,376,2,0,0,0,0
7,376,2,1,0,0,0
8,376,2,2,-1,0,0
9,377,0,0,0,1,976
10,377,0,1,0,1,328
11,377,0,2,0,0,0
12,377,1,0,0,1,148
13,377,1,1,0,1,240
14,377,1,2,0,0,0
15,377,2,0,0,0,0
16,377,2,1,0,0,0
17,377,2,2,-1,0,0
18,378,0,0,0,1,694
19,378,0,1,0,1,217
20,378,0,2,0,0,0
21,378,1,0,0,1,506
22,378,1,1,0,0,90
23,378,1,2,0,0,0
24,378,2,0,0,0,0
25,378,2,1,0,0,0
26,378,2,2,-1,0,0
27,379,0,0,0,1,266
28,379,0,1,0,0,106
29,379,0,2,0,0,0
30,379,1,0,0,1,229
31,379,1,1,0,0,55
32,379,1,2,0,0,0
33,379,2,0,0,0,0
34,379,2,1,0,0,0
35,379,2,2,-1,0,0
36,380,0,0,0,1,160
37,380,0,1,0,0,7
38,380,0,2,0,0,0
39,380,1,0,0,0,8
40,380,1,1,0,0,8
41,380,1,2,0,0,0
42,380,2,0,0,0,0
43,380,2,1,0,0,0
44,380,2,2,-1,0,0
45,381,0,0,0,0,43
46,381,0,1,0,0,22
47,381,0,2,0,0,0
48,381,1,0,0,0,5
49,381,1,1,0,0,57
50,381,1,2,0,0,0
51,381,2,0,0,0,0
52,381,2,1,0,0,0
53,381,2,2,-1,0,0
54,382,0,0,0,0,8
55,382,0,1,0,0,107
56,382,0,2,0,0,0
57,382,1,0,0,0,10
58,382,1,1,0,1,162
59,382,1,2,0,0,0
60,382,2,0,0,0,0
61,382,2,1,0,0,0
62,382,2,2,-1,0,0
63,383,0,0,0,0,46
64,383,0,1,0,1,131
65,383,0,2,0,0,0
66,383,1,0,0,0,64
67,383,1,1,0,0,37
68,383,1,2,0,0,0
69,383,2,0,0,0,0
70,383,2,1,0,0,0
71,383,2,2,-1,0,0
72,384,0,0,0,0,91
73,384,0,1,0,0,40
74,384,0,2,0,0,0
75,384,1,0,0,1,191
76,384,1,1,0,0,14
77,384,1,2,0,0,0
78,384,2,0,0,0,0
79,384,2,1,0,0,0
80,384,2,2,-1,0,0
81,385,0,0,0,0,53
82,385,0,1,0,0,43
83,385,0,2,0,0,0
84,385,1,0,0,0,85
85,385,1,1,0,0,9
86,385,1,2,0,0,0
87,385,2,0,0,0,0
88,385,2,1,0,0,0
89,385,2,2,-1,0,0
90,386,0,0,0,0,10
91,386,0,1,0,0,40
92,386,0,2,0,0,0
93,386,1,0,0,0,58
94,386,1,1,0,0,2
95,386,1,2,0,0,0
96,386,2,0,0,0,0
97,386,2,1,0,0,0
98,386,2,2,-1,0,0
99,387,0,0,0,0,11
100,387,0,1,0,0,35
101,387,0,2,0,0,0
102,387,1,0,0,0,31
103,387,1,1,0,0,8
104,387,1,2,0,0,0
105,387,2,0,0,0,0
106,387,2,1,0,0,0
107,387,2,2,-1,0,0
108,388,0,0,0,0,84
109,388,0,1,0,0,85
110,388,0,2,0,0,0
111,388,1,0,0,0,2
112,388,1,1,0,1,198
113,388,1,2,0,0,0
114,388,2,0,0,0,0
115,388,2,1,0,0,0
116,388,2,2,-1,0,0
117,389,0,0,0,1,228
118,389,0,1,0,1,132
119,389,0,2,0,0,0
120,389,1,0,0,0,81
121,389,1,1,0,1,141
122,389,1,2,0,0,0
123,389,2,0,0,0,0
124,389,2,1,0,0,0
125,389,2,2,-1,0,0
126,390,0,0,0,0,58
127,390,0,1,0,0,72
128,390,0,2,0,0,0
129,390,1,0,0,0,57
130,390,1,1,0,0,1
131,390,1,2,0,0,0
132,390,2,0,0,0,0
133,390,2,1,0,0,0
134,390,2,2,-1,0,0
135,391,0,0,0,0,20
136,391,0,1,0,0,6
137,391,0,2,0,0,0
138,391,1,0,0,0,14
139,391,1,1,0,0,3
140,391,1,2,0,0,0
141,391,2,0,0,0,0
142,391,2,1,0,0,0
143,391,2,2,-1,0,0
144,392,0,0,0,0,24
145,392,0,1,0,0,17
146,392,0,2,0,0,0
147,392,1,0,0,0,14
148,392,1,1,0,0,2
149,392,1,2,0,0,0
150,392,2,0,0,0,0
151,392,2,1,0,0,0
152,392,2,2,-1,0,0
153,393,0,0,0,0,3
154,393,0,1,0,0,6
155,393,0,2,0,0,0
156,393,1,0,0,0,4
157,393,1,1,0,0,27
158,393,1,2,0,0,0
159,393,2,0,0,0,0
160,393,2,1,0,0,0
161,393,2,2,-1,0,0
162,394,0,0,0,0,2
163,394,0,1,0,0,44
164,394,0,2,0,0,0
165,394,1,0,0,0,1
166,394,1,1,0,1,375
167,394,1,2,0,0,0
168,394,2,0,0,0,0
169,394,2,1,0,0,0
170,394,2,2,-1,0,0
171,395,0,0,0,0,20
